MO  effCR   nrRE      par1      par2     MSE
4 0.642361 576 8.437616 6.514148 0.0007870465
4 0.647222 720 8.473933 7.254955 0.0004867062
4 0.640278 1440 8.28965 10.33948 0.0003349189
4 0.64375 2880 8.496989 11.29355 0.0005473912
4 0.640278 4320 8.374144 16.53644 0.000116617
4 0.640278 5760 8.431869 14.50037 0.0006316161
4 0.640278 7200 8.463187 14.45624 0.0003702985
4 0.641111 10800 8.454869 17.31387 0.0001285949
4 0.64 14400 8.476467 17.59702 5.712506e-05
6 0.425926 144 9.542538 3.903108 0.0008927826
6 0.421296 288 9.169602 5.421337 0.0006079616
6 0.422839 432 9.037173 6.906445 0.0005328354
6 0.428241 576 9.075641 8.061406 0.0004778122
6 0.424074 720 8.997323 8.807153 0.0002614645
6 0.426852 1440 8.966339 12.82188 9.772592e-05
6 0.421759 2880 9.003465 15.51232 0.000193577
6 0.421914 4320 8.955954 19.95952 8.846631e-07
6 0.421296 5760 8.981387 20.54076 0.0001118281
6 0.42 7200 8.945704 23.6562 3.923224e-07
6 0.420494 10800 8.988438 26.17954 5.14473e-05
6 0.420278 14400 8.988008 31.78631 1.87514e-05
6 0.462963 144 10.22309 3.972707 0.001065236
6 0.467593 288 10.00318 5.629703 0.0006793049
6 0.459877 432 9.747701 7.0158 0.0004681927
6 0.465278 576 9.773578 7.9995 0.0003436538
6 0.461111 720 9.671566 8.631949 0.000607774
6 0.463889 1440 9.688515 12.55818 0.0001483977
6 0.4625 2880 9.768037 15.71691 1.001444e-05
6 0.46142 4320 9.697957 18.60063 1.957909e-05
6 0.460185 5760 9.74727 19.44904 1.932029e-06
6 0.460926 7200 9.773577 21.95969 4.430252e-05
6 0.46 10800 9.751503 25.60259 4.591043e-07
6 0.46 14400 9.779797 29.23585 4.081761e-05
6 0.5 144 10.92022 3.982559 0.001552593
6 0.50463 288 10.71425 5.613119 0.0008905549
6 0.509259 432 10.69025 6.719158 0.0006859207
6 0.502315 576 10.50934 8.073575 0.0004389131
6 0.512963 720 10.70199 8.74343 0.0003993184
6 0.500926 1440 10.39964 13.27227 2.753746e-05
6 0.503241 2880 10.56063 14.576 9.993327e-05
6 0.5 4320 10.51435 16.70488 3.214205e-05
6 0.500926 5760 10.49481 18.75548 1.710661e-05
